state_postal_code,state_fips_code,district_id,name,estimated_5_to_17_population,estimated_5_to_17_poverty_population,poverty_rate
AL,01,02850,Roanoke City School District,911,293,32.16
AL,01,02880,Russell County School District,"4,519","1,177",26.05
AL,01,02910,Russellville City School District,"2,117",542,25.60
AL,01,00185,Saraland City School District,"3,014",367,12.18
AL,01,00189,Satsuma City School District,"1,153",109,9.45
AL,01,02940,Scottsboro City School District,"2,373",572,24.10
AL,01,02970,Selma City School District,"3,235","1,551",47.94
AL,01,03000,Sheffield City School District,"1,441",452,31.37
AL,01,03030,Shelby County School District,"24,730","2,170",8.77
AL,01,03062,St. Clair County School District,"10,413","1,547",14.86
AL,01,03090,Sumter County School District,"1,700",797,46.88
AL,01,03120,Sylacauga City School District,"2,008",515,25.65
AL,01,03150,Talladega City School District,"2,483",846,34.07
AL,01,03180,Talladega County School District,"7,359","1,765",23.98
AL,01,03210,Tallapoosa County School District,"3,271",796,24.34
AL,01,03240,Tallassee City School District,"1,515",370,24.42
AL,01,03270,Tarrant City School District,"1,223",561,45.87
AL,01,03300,Thomasville City School District,810,204,25.19
AL,01,03330,Troy City School District,"2,118",558,26.35
AL,01,00013,Trussville City School District,"5,466",273,4.99
AL,01,03360,Tuscaloosa City School District,"12,034","2,756",22.90
AL,01,03390,Tuscaloosa County School District,"23,109","3,510",15.19
AL,01,03420,Tuscumbia City School District,"1,345",326,24.24
AL,01,03430,Vestavia Hills City School District,"7,934",300,3.78
AL,01,03450,Walker County School District,"8,240","2,114",25.66
AL,01,03480,Washington County School District,"2,396",712,29.72
AL,01,03510,Wilcox County School District,"1,719",857,49.85
AL,01,03540,Winfield City School District,"1,030",190,18.45
AL,01,03580,Winston County School District,"2,315",575,24.84
AK,02,00050,Alaska Gateway School District,453,99,21.85
AK,02,00010,Aleutian Region School District,27,5,18.52
AK,02,00007,Aleutians East Borough School District,192,26,13.54
AK,02,00180,Anchorage School District,"49,862","5,237",10.50
AK,02,00525,Annette Island School District,288,62,21.53
AK,02,00020,Bering Strait School District,"1,709",438,25.63
AK,02,00030,Bristol Bay Borough School District,133,25,18.80
AK,02,00730,Chatham School District,150,32,21.33
AK,02,00800,Chugach School District,76,13,17.11
AK,02,00070,Copper River School District,487,75,15.40
AK,02,00060,Cordova City School District,406,41,10.10
AK,02,00090,Craig City School District,171,17,9.94
AK,02,00100,Delta/Greely School District,902,106,11.75
AK,02,00770,Denali Borough School District,209,14,6.70
AK,02,00120,Dillingham City School District,438,65,14.84
